Stkcd,Trdmnt,,Msmvttl,Dturn,Beta,Mretwd
证券代码,月份,,个股总市值,换手率,Beta值,考虑现金红利再投资的月个股回报率
没有单位,没有单位,,千元,没有单位,没有单位,没有单位
000002,2008 ,1 ,157606647.7,0.313926,0.284247,-0.096741
000002,2008 ,2 ,140666201.8,0.134114,0.276776,-0.107486
000002,2008 ,3 ,154884076,0.307993,0.242903,0.101075
000002,2008 ,4 ,147442380.2,0.31179,0.217343,-0.048047
000002,2008 ,5 ,119490644.6,0.250925,0.23834,-0.189577
000002,2008 ,6 ,87219095.3,0.166327,0.331568,-0.265772
000002,2008 ,7 ,82282165.38,0.28792,0.323434,-0.056604
000002,2008 ,8 ,68536203.63,0.145581,0.361631,-0.167059
000002,2008 ,9 ,63212063.52,0.20276,0.374132,-0.077684
000002,2008 ,10 ,56919897.93,0.394073,0.378565,-0.099541
000002,2008 ,11 ,66019337.4,0.50995,0.389286,0.159864
000002,2008 ,12 ,62437643.14,0.39467,0.378948,-0.054252
000002,2009 ,1 ,68148993.44,0.149015,0.387542,0.091473
000002,2009 ,2 ,69213821.46,0.534209,0.390646,0.015625
000002,2009 ,3 ,80152509.33,0.435244,0.394926,0.158042
000002,2009 ,4 ,82088560.28,0.413295,0.403011,0.024155
000002,2009 ,5 ,94285681.27,0.396032,0.38338,0.148585
000002,2009 ,6 ,123423248.1,0.401108,0.399743,0.314909
000002,2009 ,7 ,129328203.5,0.583607,0.422703,0.047843
000002,2009 ,8 ,90994394.65,0.4205,0.508363,-0.296407
000002,2009 ,9 ,100868254.5,0.371827,0.507833,0.108511
000002,2009 ,10 ,111419732.2,0.231317,0.516247,0.104607
000002,2009 ,11 ,111613337.3,0.415316,0.503254,0.001738
000002,2009 ,12 ,104643553.9,0.388563,0.507529,-0.062446
000002,2010 ,1 ,90413579.37,0.252526,0.518442,-0.135985
000002,2010 ,2 ,91284802.29,0.097635,0.517819,0.009636
000002,2010 ,3 ,91962420.13,0.157021,0.526085,0.007423
000002,2010 ,4 ,75505987.05,0.215988,0.551734,-0.178947
000002,2010 ,5 ,69794636.75,0.150608,0.613367,-0.066826
000002,2010 ,6 ,65632127.21,0.092808,0.621395,-0.059639
000002,2010 ,7 ,80249311.88,0.171813,0.636345,0.222714
