Stkcd	Trddt	dayc	ivol	totalv	crate	beta	return	ivol_lag	crate_lag	ivol_current	ivol_lag_rank
600256	200802	16	.031128024	15805618	.129905	.906163	.041072	0.007782006	0.129905	0.031128024	0
600010	200802	16	.034527541	48495956	.138509	.882186	.055944	0.008631885	0.138509	0.034527541	0
600900	200802	16	.011621557	163958529	.057840	.361077	.028335	0.015033304	0.203439	0.011621557	0
600019	200802	16	.024786077	2998054.4	.203238	.582472	.103093	0.015417182	0.303321	0.024786077	0
600633	200802	16	.027817229	1824609.7	.288851	1.06012	.161665	0.015908388	0.458068	0.027817229	0
600535	200802	15	.023667403	107848.00	.184220	.792351	.181187	0.016202233	0.269517	0.023667403	0
601857	200802	16	.018632729	36545813	.309891		-.10685	0.016662503	0.432327	0.018632729	0
600809	200802	16	.013984622	12546141	.120726	.609209	-.01126	0.01669311	0.311271	0.013984622	0
600886	200802	16	.024646592	14669880	.221381	.741794	.023547	0.016744136	0.516227	0.024646592	0
600549	200802	15	.044294208	121235.06	.292280	.556838	-.06965	0.01728622	0.277809	0.044294208	0
600011	200802	16	.015779312	1084500.0	.039071	.882896	.028157	0.017340703	0.11834	0.015779312	0
600009	200802	16	.017337263	61354357	.076839	.524185	-.04241	0.017419555	0.178107	0.017337263	0
000858	200802	16	.019225397	137413995	.187139	.631799	-.04106	0.0177179	0.397	0.019225397	0
002024	200802	16	.014295914	95225754	.043266		.086334	0.017783901	0.082693	0.014295914	0
600832	200802	16	.014134455	35209000	.116617	.669547	.088000	0.018167133	0.272432	0.014134455	0
600600	200802	16	.008028085	22474892	.092313	.595376	-.04204	0.018243396	0.37873	0.008028085	0
600518	200802	15	.016205396	87039.68	.482545	.950253	.150168	0.018296772	0.564343	0.016205396	0
601607	200802	16	.013686908	6932525.7	.127483	.874146	.083630	0.018642296	0.389547	0.013686908	0
000568	200802	16	.016283708	62697206	.175415	.732108	.129513	0.018904206	0.239677	0.016283708	0
000625	200802	15	.018930257	20952417	.197004	.764453	-.01757	0.019025131	0.532379	0.018930257	0
000009	200802	16	.077962032	13979450	.179377	1.05126	.068132	0.019490508	0.179377	0.077962032	0
000002	200802	16	.014380359	140666202	.134114	.276776	-.10749	0.019659245	0.313926	0.014380359	1
