Stkcd	Trddt	dayc	ivol	totalv	crate	beta	return	ivol_lag	crate_lag	ivol_current	ivol_lag_rank
600256	200802	16	.031128024	15805618	.129905	.906163	.041072	0.007782006	0.129905	0.031128024	0
600010	200802	16	.034527541	48495956	.138509	.882186	.055944	0.008631885	0.138509	0.034527541	0
000009	200802	16	.077962032	13979450	.179377	1.05126	.068132	0.019490508	0.179377	0.077962032	0
600271	200802	16	.082887006	209611.80	.050309	.533334	.077532	0.020721751	0.050309	0.082887006	0
000709	200802	16	.089997455	48929349	.151332	.998256	.050608	0.022499364	0.151332	0.089997455	0
000061	200802	16	.095863116	11699683	.145254	.785754	.013432	0.023965779	0.145254	0.095863116	0
000623	200802	16	.097412608	31076002	.294061	1.39574	-.04409	0.024353152	0.294061	0.097412608	0
000039	200802	16	.104401338	27459397	.152805	.488324	.056398	0.026100334	0.152805	0.104401338	0
000629	200802	16	.120859092	43669677	.254962	1.01422	.187500	0.030214773	0.254962	0.120859092	0
600739	200802	16	.148454073	46367634	.317020	1.81643	.188046	0.037113518	0.31702	0.148454073	0
600674	200802	16	.153249645	19460036	.565738	.873037	.368221	0.038312411	0.565738	0.153249645	0
002056	200802	16	.097457101	8105002.5	.564101		.197632	0.056825471	0.4918	0.097457101	0
000039	200802	16	.026100334	27459397	.152805	.488324	.056398	0.059986304	0.431772	0.026100334	0
600010	200802	16	.008631885	48495956	.138509	.882186	.055944	0.068285927	0.524574	0.008631885	0
000629	200802	16	.030214773	43669677	.254962	1.01422	.187500	0.073640722	0.448012	0.030214773	0
000006	200802	16	.063273676	6692283.1	.104134	.689756	.015000	0.074942591	0.352631	0.063273676	0
600811	200802	16	.073566136	17896788	.203833	1.46529	-.00770	0.076105792	0.52463	0.073566136	0
000088	200802	15	.047545374	200320.50	.225484	.622180	.069814	0.079518548	0.495729	0.047545374	0
600177	200802	16	.032692839	48406538	.120283	1.17893	.004621	0.083000556	0.332651	0.032692839	0
002055	200802	16	.031575505	1708523.0	.078822		-.02273	0.083137103	0.250658	0.031575505	1
600321	200802	16	.052605488	2498527.2	.415716	.950884	.083992	0.084881224	0.56013	0.052605488	1
600206	200802	16	.061894859	33277.50	.236348	.858682	.129985	0.086098985	0.593847	0.061894859	1
