Trddt	ivol_lag_rank	ivol_lag	v_weight_ilag	avg_return	v_weight_return	crate	crate_lag	v_weight_crate	v_weight_crate_lag	avg_totalv
200802	0	0.0437627048	0.0432838493	0.0864211053	0.0894890845	0.2180727895	0.3147932105	0.2113871419	0.3136659915	26740967.198
200802	1	0.0971812868	0.0943562316	0.0515811	0.0387053271	0.2476879	0.47361795	0.1960521608	0.444679398	9521929.783
200802	2	0.1195945202	0.1191488173	0.06438975	0.0896994242	0.2911267	0.56771085	0.2651643714	0.5140795112	10959373.859
200802	3	0.1440673891	0.1444527226	0.06552245	0.070917892	0.34334	0.7275444	0.2978881296	0.5506350136	8509009.709
200802	4	0.1839015257	0.1747764513	0.11273655	0.0738583146	0.53798655	1.0135061	0.3331212715	0.8065164327	6013132.5435
200803	0	0.0305537639	0.0297894211	-0.209889842	-0.23224215	0.55181765	0.28583415	0.2624352745	0.2517298383	16062354.557
200803	1	0.0555814582	0.05413114	-0.225152286	-0.22374184	0.3649087143	0.269119	0.3008962545	0.2231967231	5361362.7267
200803	2	0.0814525862	0.0828993239	-0.214330524	-0.21810998	0.4198951905	0.2517284762	0.3439754826	0.2212384146	6583209.6905
200803	3	0.1074706192	0.1083743225	-0.220383286	-0.187633661	0.5056374762	0.4038438571	0.2932510453	0.2414556422	9724536.1743
200803	4	0.1465007301	0.1471564068	-0.208571238	-0.211529436	0.6057710476	0.5920408571	0.5295855013	0.4121329121	7987983.0424
200804	0	0.0408252589	0.0325742518	0.05128735	0.0756528783	0.3480527	0.3553307	0.3591157631	0.344994089	16337597.433
200804	1	0.0774936895	0.077454439	-0.039464667	-0.056890827	0.2986024762	0.3257669048	0.3082241606	0.2773785378	5702556.8724
200804	2	0.0934300618	0.092889706	-0.052506571	-0.075086863	0.3660431905	0.374635619	0.3945805314	0.3702471288	4937285.6462
200804	3	0.1145818103	0.1131245353	-0.005928571	-0.04381599	0.485755	0.4491287619	0.3894792057	0.3162803926	10029408.634
200804	4	0.261600662	0.1651477477	0.0059154762	0.1166946275	0.6362316667	0.9739623333	0.5062798135	0.4846255077	9290540.4176
200805	0	0.0421444076	0.0304625823	-0.06264945	-0.081794839	0.395472	0.3531348	0.3654285635	0.3498440695	14155588.876
200805	1	0.084008981	0.0835241913	-0.02532981	-0.05672173	0.476900381	0.312974381	0.3865637835	0.3131245813	6347770.6762
200805	2	0.1056312004	0.1042619552	-0.085520857	-0.091497127	0.3388945714	0.3344964762	0.3844505764	0.3650525649	6262224.5281
200805	3	0.1283621559	0.1275462712	0.0093548095	-0.042114631	0.7111077619	0.636172381	0.4229122133	0.4628422699	8790849.9581
200805	4	0.1709959955	0.1695251835	-0.02954155	-0.026993633	0.53337925	0.5164246	0.4607489123	0.5668117922	7272146.704
200806	0	0.0421656823	0.0355614177	-0.212144524	-0.223438699	0.2720626667	0.2945327143	0.2765040953	0.2992020671	12512639.873
200806	1	0.0900025864	0.0888452996	-0.253603727	-0.268676288	0.2570920455	0.3356590909	0.2135780378	0.2820822975	5775400.6623
200806	2	0.1117079584	0.1124503318	-0.212140333	-0.211689126	0.3279766667	0.4034388095	0.3676902185	0.3687194973	6916702.4086
200806	3	0.1431550098	0.1442394881	-0.232703727	-0.175055569	0.3668652273	0.4684760909	0.4447080772	0.5278511762	6564319.4859
200806	4	0.1861483037	0.1879552654	-0.257092048	-0.237866707	0.5351620952	0.9124054762	0.4629064693	0.7574124276	2435995.8767
200807	0	0.0349478744	0.0233902704	0.0696129524	0.0057442003	0.3817969048	0.2876294286	0.3473889027	0.3260967239	10213628.169
200807	1	0.0827432677	0.0770042546	0.0656794545	0.0270958477	0.3682549545	0.2516065	0.2663044918	0.2049928135	7773367.0223
200807	2	0.1065823043	0.1077014374	0.1103742727	0.0618699486	0.5659832727	0.3860757727	0.3557556285	0.3005799368	4764749.2091
200807	3	0.1279493081	0.1267473078	0.0923518182	0.0906770194	0.4285228182	0.2912675455	0.3616651029	0.1993989894	5400246.2482
200807	4	0.173968359	0.1820800664	0.0577875	0.0367389968	0.6544330909	0.5759704091	0.954648241	0.7251939533	5102486.0395
200808	0	0.0327848176	0.0327104327	-0.189297381	-0.18896868	0.2277245238	0.2069822381	0.2595256811	0.2508590838	10615231.262
200808	1	0.0740425337	0.0726623179	-0.191582955	-0.173719224	0.2120942727	0.3411593182	0.167149981	0.2580129965	3101595.0232
200808	2	0.0941711425	0.0946557581	-0.251274318	-0.253755731	0.2354305	0.4463652727	0.2069920925	0.3408722085	4214246.9855
200808	3	0.1232803403	0.1244994574	-0.266596136	-0.252463153	0.2408083636	0.4296267727	0.1992393696	0.3406396254	3690846.4777
200808	4	0.1662525312	0.1681386879	-0.241643048	-0.244473167	0.5026769524	0.9334605238	0.4662396786	0.9295801387	5231825.2214
200809	0	0.0363380945	0.0313898337	-0.074032143	-0.026720113	0.2385561905	0.228904381	0.2636144383	0.2593188327	8126530.2314
200809	1	0.0759420465	0.0762837507	-0.046607409	-0.038399416	0.2574542727	0.2026090909	0.2427145695	0.1803864063	3162630.4145
200809	2	0.0933929255	0.0916413342	-0.039449762	0.022743486	0.260384619	0.2197282381	0.2373548094	0.1921757445	3164461.1843
200809	3	0.1157453298	0.1169528668	-0.089173318	-0.059768815	0.2581528182	0.2782972727	0.2522847502	0.2367626718	4702469.0668
200809	4	0.1726567806	0.1711804051	-0.08941219	-0.04460426	0.5633009048	0.566849	0.4595243857	0.4558799123	5641031.281
200810	0	0.0405290315	0.0358716549	-0.184563048	-0.149341242	0.3061282381	0.2607372857	0.2768964905	0.2526287781	7157570.1029
200810	1	0.0790838031	0.0795568317	-0.267925619	-0.263550002	0.1603834762	0.1790709524	0.1415478948	0.1516171508	2693958.2176
200810	2	0.102067512	0.1048239275	-0.209665136	-0.29833479	0.3442472273	0.2899971818	0.415558674	0.3972653899	2021518.3609
200810	3	0.1319559421	0.1310420247	-0.251052905	-0.233442573	0.271040619	0.2551484286	0.2255924937	0.237640519	3178492.6505
200810	4	0.1848331902	0.1801414126	-0.235308857	-0.086400081	0.5978546667	0.6327080952	0.4029297438	0.450901114	4020126.6219
200811	0	0.042528841	0.0331619764	0.1561468095	0.126477661	0.399184381	0.2906430952	0.3798460081	0.3227653134	7239441.3871
200811	1	0.0833531799	0.0874529144	0.1584102857	0.1634600851	0.3881510476	0.1586917143	0.2632774775	0.1242556412	3044987.279
200811	2	0.1086573257	0.1050891411	0.1995716667	0.1678402283	0.51652	0.2387675238	0.5275149254	0.2819287925	4581152.6152
200811	3	0.1358220118	0.1331483668	0.1577725238	0.1472208946	0.4880669524	0.3205380952	0.4000306929	0.2572919804	4054872.6671
200811	4	0.1890663279	0.1989590186	0.1237282857	0.161126885	0.908095	0.6665209524	0.7425133251	0.5890256052	2722232.3019
200812	0	0.0508286856	0.038272678	0.0924389048	0.0653574975	0.4653563333	0.4068770476	0.4261282574	0.4422781315	9179759.3443
200812	1	0.1028964232	0.1042882331	0.0871196667	0.0356981567	0.6202653333	0.4098485238	0.4056432832	0.2683798732	3240224.8543
200812	2	0.12384674	0.125067684	0.0924041818	0.0831729888	0.6632776818	0.4657089091	0.488064233	0.3687092758	3649143.475
200812	3	0.1497588578	0.1481539072	0.1195446667	0.1649342085	0.8105999048	0.6233106667	0.7157078044	0.5140238953	3987107.3324
200812	4	0.1924460358	0.1876495369	0.0580538571	-0.020574423	0.9299577619	0.8597834286	0.7050530752	0.7341969227	3623009.3519
200901	0	0.0543630471	0.0485325667	0.1164652222	0.1043955528	0.362573	0.3765947778	0.3430702204	0.3617071979	12528458.506
200901	1	0.1436728738	0.1448181302	0.1499647368	0.1756254937	0.3445918421	0.4939284211	0.3308043743	0.433144655	5031876.5484
200901	2	0.1678387265	0.1681105425	0.1542545263	0.170023845	0.3252811053	0.5214341579	0.3220546515	0.5094728068	4003629.1684
200901	3	0.1862928973	0.185448096	0.1944272632	0.2752166463	0.4554302105	0.7838293158	0.4518000586	0.7041949934	4506621.0226
200901	4	0.2262839673	0.2340160014	0.2247798947	0.2430827383	0.6409660526	1.1262792105	0.5801856781	1.0255012234	2371039.1168
200902	0	0.0332081895	0.0257328787	0.0661672273	0.0633498421	0.6841762727	0.4804421818	0.6743962143	0.5469344685	9455119.5418
200902	1	0.063886913	0.0650983	0.0893977727	0.178350723	1.0386125	0.4189345455	0.756636011	0.2503380506	3868379.0673
200902	2	0.085734769	0.0871045726	0.0741398182	0.0373021888	0.9442726364	0.4731065	0.830326265	0.4584868153	5051176.3245
200902	3	0.1117806654	0.1134882717	0.0837187273	0.1124641801	0.8519230909	0.4635777273	0.7322220573	0.4327218215	5429319.9291
200902	4	0.1642852329	0.1573028102	0.0601974091	0.0690211704	1.0992204545	0.6892478636	1.016380913	0.6305008808	3901785.3777
200903	0	0.0399807658	0.0261879416	0.2126554545	0.1967249103	0.5731411818	0.6262319545	0.5333252339	0.5820931538	11465935.758
200903	1	0.089706268	0.0877980323	0.2567248636	0.2502425384	0.8127779545	0.8354251818	0.7424010516	0.7462214128	5137395.6014
200903	2	0.1162744389	0.1142661808	0.2427595	0.2408644112	0.68577	0.8557628636	0.4741177767	0.5917713284	6676633.1932
200903	3	0.1338091848	0.1339854412	0.2486253636	0.2517395733	0.7305106364	0.9304859091	0.6834127809	0.86165643	7038376.4895
200903	4	0.1771200537	0.172428654	0.2048050909	0.1993860489	1.0266607273	1.3041999545	0.8983168085	1.0942791699	6034395.6282
200904	0	0.0347130906	0.0287303369	0.0365440909	0.0093788785	0.6850180455	0.5290154091	0.6508898964	0.5478664751	14379983.248
200904	1	0.0756210075	0.0757492726	0.0833167273	0.063974538	0.8924809545	0.634931	0.6734830083	0.519889817	6411969.0164
200904	2	0.1002313551	0.102819592	0.0297438182	-0.016981944	0.7877689091	0.6703748636	0.6867138484	0.6577768784	4982143.4673
200904	3	0.1273667669	0.1266837083	0.0169708636	0.0292032922	0.9395259545	0.9351916818	0.7520520837	0.789428053	6464903.2359
200904	4	0.1598080786	0.1546884184	0.0219791818	0.0033318875	0.8746171364	1.0685904091	0.7401184037	0.8761955763	4777442.3577
200905	0	0.0364583651	0.0249538831	0.0518987273	0.0114528633	0.4884054545	0.5167408636	0.3888032798	0.4780427222	13089656.239
200905	1	0.0831504218	0.0844376448	0.1090345455	0.1283104787	0.6005779091	0.7366661818	0.5456344595	0.6289909963	4861616.64
200905	2	0.1049163027	0.1020593792	0.0307663182	0.0123723579	0.5545801818	0.830868	0.4237891269	0.6936334277	6299120.2918
200905	3	0.1298066805	0.128743734	0.0972764545	0.1066795734	0.7519011818	0.9612055	0.6506932217	0.8290031396	8533728.59
200905	4	0.1636059942	0.1599972624	0.0433229091	0.1026931404	0.6017035909	1.0283498636	0.5497078644	0.7557382574	6079289.7991
200906	0	0.0318961182	0.0258952709	0.0722762273	0.097816135	0.5423514091	0.4433973182	0.5199561088	0.4342827327	15442086.344
200906	1	0.0694905963	0.068687687	0.041349087	0.0609702196	0.5987921739	0.4830872174	0.6147605033	0.4763347025	7144094.0709
200906	2	0.090764919	0.0909895327	0.0133130455	0.0375111395	0.6361546364	0.6117283636	0.4832628862	0.467548361	8006915.3686
200906	3	0.110400274	0.1103242409	0.0819737826	0.1146557392	0.7608673478	0.6821777391	0.7794366186	0.7376627311	6432737.2517
200906	4	0.1493835676	0.1347013532	0.1255361818	0.2066263081	0.80058	0.8242841818	0.6119503369	0.5462158246	9218059.1736
200907	0	0.0343658199	0.0273973064	0.185428	0.2048048068	0.7857813182	0.5976904091	0.6181107233	0.5232944492	20209357.658
200907	1	0.0692861983	0.0697631877	0.1547432174	0.2440691878	1.0905544348	0.6802331304	0.8749941801	0.5832500919	6167946.193
200907	2	0.085357033	0.0842796158	0.1515967273	0.1995035072	0.9437466818	0.6373508636	0.8446751931	0.6859895052	8010029.0968
200907	3	0.107289881	0.106448792	0.1312415652	0.1583447425	0.8541392174	0.6644257391	0.7029288833	0.5468946764	10269457.044
200907	4	0.1653937238	0.1919275395	0.0811607273	0.0457219512	0.9355777273	0.8558446818	0.8869995719	0.7992787674	9013779.1077
200908	0	0.0398395423	0.0343085567	-0.1821155	-0.190861513	0.6177654545	0.7314018636	0.4497130935	0.4776162793	14621433.927
200908	1	0.0771138662	0.0780920067	-0.170904273	-0.191684736	0.5969654091	0.8456572727	0.4445914806	0.5885603213	7664935.2777
200908	2	0.0992682925	0.1023189412	-0.198371304	-0.262211277	0.6694957391	1.0227719565	0.6137422379	0.8084002303	7661877.5417
200908	3	0.1166650157	0.1152090777	-0.146328227	-0.139582616	0.674552	0.9258505455	0.7076436876	0.9925060889	4925540.3905
200908	4	0.1525812469	0.147950723	-0.174849136	-0.184003005	0.6543464091	0.9963753182	0.6723169026	0.9695114996	7405881.0177
200909	0	0.033794003	0.0259251949	0.0292252727	0.0153576791	0.6786328636	0.4940794545	0.4368307363	0.4161978387	13945915.974
200909	1	0.0844514786	0.0795751053	0.044534	0.0509873391	0.5680605217	0.5789583913	0.4607163757	0.4688847033	6357751.9613
200909	2	0.1036769344	0.1054224196	0.0366049091	0.0369147876	0.571017	0.5538106364	0.4994820432	0.497249567	6935065.6632
200909	3	0.1243083731	0.126269167	0.0395905217	0.0381606402	0.6452292609	0.6837276957	0.4614425153	0.557912803	9771784.7465
200909	4	0.1539959181	0.1517417274	0.0134397273	0.0077362707	0.7663297727	0.8320514091	0.6574354792	0.7585188784	6327775.0595
200910	0	0.0302087624	0.0287815605	0.1084569091	0.0815209306	0.3024962727	0.336863	0.2518531063	0.2827074506	17756651.322
