,,ivol_lag,return
20082,0,0.043772331,0.027553
20082,1,0.066252267,0.067318444
20082,2,0.086658965,0.046977706
20082,3,0.109140241,0.069761444
20082,4,0.147247127,0.151630278
20083,0,0.066475952,-0.242550722
20083,1,0.082623534,-0.234716368
20083,2,0.099015476,-0.215943737
20083,3,0.119603519,-0.234597
20083,4,0.276638891,-0.129197444
20084,0,0.069632849,-0.054995111
20084,1,0.093711086,-0.041639105
20084,2,0.110309461,-0.046725526
20084,3,0.132219355,0.041747947
20084,4,0.178823515,-0.000668053
20085,0,0.072228947,-0.0915725
20085,1,0.100036919,-0.088218278
20085,2,0.119494053,-0.044062158
20085,3,0.147528674,0.003428833
20085,4,0.187872745,0.046004947
20086,0,0.065849596,-0.270359526
20086,1,0.094700304,-0.248822
20086,2,0.112039303,-0.248104579
20086,3,0.131396392,-0.213523263
20086,4,0.174276173,-0.203913368
20087,0,0.058172864,0.051172421
20087,1,0.081065536,0.088156421
20087,2,0.100559172,0.0612282
20087,3,0.128058092,0.087772368
20087,4,0.167484587,0.16402805
20088,0,0.058551074,-0.238488053
20088,1,0.081873094,-0.228257421
20088,2,0.095763486,-0.232125158
20088,3,0.116824087,-0.225009684
20088,4,0.17405856,-0.2123275
20089,0,0.062835224,-0.089943789
20089,1,0.08745877,-0.076223789
20089,2,0.108920856,-0.030457789
20089,3,0.137067995,-0.076733526
20089,4,0.186566229,-0.07913295
200810,0,0.065567067,-0.269246789
200810,1,0.093517393,-0.179479474
200810,2,0.116129861,-0.279632842
200810,3,0.141726823,-0.254817368
200810,4,0.192128306,-0.180244526
200811,0,0.087290286,0.129913947
200811,1,0.111360637,0.139260895
200811,2,0.128873079,0.153885263
200811,3,0.155328578,0.190245684
200811,4,0.195049712,0.193265579
200812,0,0.126355137,0.024302211
200812,1,0.156505288,0.080130684
200812,2,0.17479314,0.075779158
200812,3,0.19254217,0.103678263
200812,4,0.229519136,0.159675
20091,0,0.046437202,0.101244875
20091,1,0.067162724,0.163086647
20091,2,0.083760493,0.159517875
20091,3,0.102276589,0.177772588
20091,4,0.127509819,0.244484
20092,0,0.071057218,-0.016547158
20092,1,0.100601641,0.00580345
20092,2,0.121510007,0.050911211
20092,3,0.136760706,0.11125145
20092,4,0.179694051,0.2212384
20093,0,0.061855362,0.160787105
20093,1,0.084310871,0.1982883
20093,2,0.107047453,0.227023947
20093,3,0.130462073,0.2417381
20093,4,0.161975572,0.33141555
20094,0,0.066670594,0.021168895
20094,1,0.089094568,-0.0112924
20094,2,0.112400744,0.028283211
20094,3,0.133086386,0.05340955
20094,4,0.165617346,0.1227931
20095,0,0.055722536,0.001516579
20095,1,0.078051934,0.02294485
20095,2,0.096010557,0.064552053
20095,3,0.113894644,0.07471745
20095,4,0.151825396,0.1775437
20096,0,0.056993643,0.00325495
20096,1,0.075100821,-0.00580175
20096,2,0.090802032,0.0129713
20096,3,0.111579709,0.10892985
20096,4,0.169300518,0.20183975
20097,0,0.063804788,0.06571405
20097,1,0.086299815,0.10833675
20097,2,0.105120911,0.1275702
20097,3,0.120103002,0.16442365
20097,4,0.15773434,0.20083405
20098,0,0.068820934,-0.227210474
20098,1,0.092549886,-0.1870608
20098,2,0.109540594,-0.1689234
20098,3,0.12827276,-0.1529204
20098,4,0.157318214,-0.10813055
20099,0,0.056160176,0.0093428
20099,1,0.07702219,0.02041255
20099,2,0.09996097,0.04306615
20099,3,0.11919484,0.0598381
20099,4,0.154416162,0.04687865
200910,0,0.038722648,0.056050632
200910,1,0.054541425,0.0990205
200910,2,0.063047436,0.103047
200910,3,0.080007673,0.13911745
200910,4,0.114887194,0.182633
200911,0,0.074698051,0.066681105
200911,1,0.096224641,0.11853465
200911,2,0.110880052,0.11148245
200911,3,0.127725759,0.15716955
200911,4,0.159383263,0.22072025
200912,0,0.053880325,-0.0260616
200912,1,0.076744127,0.008473714
200912,2,0.09693107,0.01884475
200912,3,0.109791773,0.059897048
200912,4,0.231757618,0.146084842
20101,0,0.055419006,-0.0572961
20101,1,0.079638461,-0.02037215
20101,2,0.096825074,0.0037702
20101,3,0.11508014,0.0085761
20101,4,0.143043246,0.02428845
20102,0,0.042383283,0.032953938
20102,1,0.060147571,0.042717941
20102,2,0.077240508,0.061968688
20102,3,0.094024825,0.058150706
20102,4,0.133728436,0.088601118
20103,0,0.046980201,-0.004862619
20103,1,0.062862389,0.007760048
20103,2,0.073688653,0.016374955
20103,3,0.088597089,0.033525143
20103,4,0.118113486,0.117762682
20132,0,0.037783755,-0.010757913
20132,1,0.053790155,-0.00614687
20132,2,0.065528232,0.035530043
20132,3,0.080759599,0.043249043
20132,4,0.123059458,0.140450435
20133,0,0.0437578,-0.089549087
20133,1,0.061768695,-0.0968785
20133,2,0.079003623,-0.035919739
20133,3,0.101450645,0.007428917
20133,4,0.148538743,0.038435
20134,0,0.039094745,-0.039878696
20134,1,0.05700886,-0.039334087
20134,2,0.071915302,-0.035915957
20134,3,0.090584827,0.003666913
20134,4,0.124084993,0.02253925
20135,0,0.043622241,0.060758261
20135,1,0.073083855,0.149659522
20135,2,0.09570561,0.170041292
20135,3,0.120938037,0.245023783
20135,4,0.156909345,0.301537875
20136,0,0.042882023,-0.196050591
20136,1,0.063665682,-0.198775522
20136,2,0.081353873,-0.18704113
20136,3,0.102448651,-0.158211478
20136,4,0.154168187,-0.066721696
20137,0,0.060203027,0.013010696
20137,1,0.089152949,0.04251187
20137,2,0.109574397,0.043537125
20137,3,0.132171951,0.103967522
20137,4,0.176950589,0.201032917
20138,0,0.05120409,0.047199304
20138,1,0.072945527,0.032039348
20138,2,0.090854644,0.070879583
20138,3,0.110528141,0.085226174
20138,4,0.156227068,0.157424458
20139,0,0.045957356,0.00585087
20139,1,0.064587981,0.022421739
20139,2,0.080735777,0.042992
20139,3,0.106008192,0.07654
20139,4,0.149440315,0.108039783
201310,0,0.046669304,-0.034403091
201310,1,0.064209155,-0.035932783
201310,2,0.084287173,-0.062022955
201310,3,0.108737238,-0.04663113
201310,4,0.160804481,-0.020701565
201311,0,0.036755517,0.035320909
201311,1,0.051870869,0.0245235
201311,2,0.070948791,0.055393818
201311,3,0.094908638,0.093113591
201311,4,0.142001662,0.158882261
201312,0,0.039759405,-0.052657043
201312,1,0.057722029,-0.055743348
201312,2,0.07396287,-0.034210783
201312,3,0.094597989,-0.045927783
201312,4,0.142719602,0.0139305
20141,0,0.041932994,-0.055437696
20141,1,0.059556289,-0.035012304
20141,2,0.074954964,-0.018617417
20141,3,0.095833333,0.037965174
20141,4,0.143262391,0.094211125
20142,0,0.042089726,-0.004122818
20142,1,0.057343975,-0.005438087
20142,2,0.077688736,0.029485909
20142,3,0.097760981,0.005315
20142,4,0.133047989,0.112324783
20143,0,0.04876958,-0.052296652
20143,1,0.063332443,-0.056560957
20143,2,0.084747012,-0.037060522
20143,3,0.109819189,-0.021850913
20143,4,0.151323105,0.044996217
20144,0,0.040562103,-0.031226391
20144,1,0.056342878,-0.014678304
20144,2,0.072054082,-0.020649261
20144,3,0.091467547,-0.054817696
20144,4,0.127452775,0.024761625
20145,0,0.029774691,-0.009560913
20145,1,0.043238491,0.010159
20145,2,0.056095034,0.010609174
20145,3,0.070800375,0.027857304
20145,4,0.113448677,0.066837043
20146,0,0.026939542,0.001147783
20146,1,0.040313017,0.014031957
20146,2,0.056173011,0.022571043
20146,3,0.075039155,0.026421522
20146,4,0.115854224,0.092656583
20147,0,0.039753249,0.070051087
20147,1,0.056038704,0.064615565
20147,2,0.071070519,0.036972043
20147,3,0.088913266,0.065392739
20147,4,0.141264833,0.151242958
20148,0,0.038585553,0.00680187
20148,1,0.057094476,0.043073583
20148,2,0.074947527,0.02844887
20148,3,0.094561822,0.064287875
20148,4,0.145287494,0.144360667
20149,0,0.037849694,0.055051522
